timestamp,ticker,short_interest_short_interest,short_interest_days_to_cover,short_volume_short_volume,short_volume_short_volume_ratio,short_volume_total_volume,float_float,float_free_float_percent,float_effective_date,options_data_current_price,options_data_top_call_strike,options_data_top_call_oi,options_data_top_put_strike,options_data_top_put_oi,options_data_call_put_oi_ratio,options_data_largest_pressure_strike,options_data_gamma_ramp_strike,options_data_gamma_ramp_oi,options_data_call_oi_within_10pct,options_data_distance_to_gamma_strike_pct,short_score,short_score_absolute
2026-03-15 19:36:10.030643+00:00,AAME,6056,1.0,3052.0,52.69,5792.481205,3999897.0,19.6,2025-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7402000000000001,0.675
2026-03-15 19:35:36.956083+00:00,AACB,3146,1.0,2.0,0.0,100011.0,22175000.0,100.0,2026-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45582163501238643,0.5750000000000001
2026-03-15 19:35:38.700016+00:00,AACBU,1,1.0,100.0,20.16,496.056779,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38826152970203076,0.7250000000000001
